Garut,,,,,,,,,,,,
dmu,Land area (m2),Land lease value (IDR),Labor cost (IDR),Seed purchase value (IDR),Fertilizer purchase value (IDR),Pesticide purchase value (IDR),Equipment rent value (IDR),Production value (IDR),,,,
68,2800,5040000,500000,644000,3640000,364000,330000,24150000,,,,
69,1200,2280000,500000,120000,1560000,168000,350000,9700000,,,,
70,2300,4025000,500000,529000,2990000,299000,395000,16524492.75,,,,
71,1700,2975000,500000,170000,2210000,221000,390000,13050000,,,,
72,1650,2970000,500000,379500,2145000,214500,380000,13050000,,,,
73,1800,3420000,500000,414000,2340000,234000,320000,15150000,,,,
74,4200,7350000,650000,966000,5460000,546000,470000,32620000,,,,
75,3500,6125000,700000,805000,4550000,455000,400000,25250000,,,,
76,2600,4680000,600000,598000,3380000,338000,310000,20400000,,,,
77,5000,9500000,6000000,1150000,6500000,650000,550000,38800000,,,,
,,,,,,,,,,,,
Tasikmalaya,,,,,,,,,,,,
dmu,Land area (m2),Land lease value (IDR),Labor cost (IDR),Seed purchase value (IDR),Fertilizer purchase value (IDR),Pesticide purchase value (IDR),Equipment rent value (IDR),Production value (IDR),,,,
1,4200,7350000,2295000,966000,5460000,546000,610000,54450000,,,,
2,3900,7020000,875000,897000,5070000,507000,970000,50400000,,,,
3,3920,7448000,600000,901600,5096000,509600,778000,50400000,,,,
4,2272,3976000,1200000,522560,2953600,295360,417200,29700000,,,,
5,10000,18000000,4000000,1500000,13000000,1300000,1700000,59400000,,,,
6,1680,1344000,500000,386400,2184000,218400,526000,23400000,,,,
7,2100,1470000,790000,483000,2730000,273000,610000,27900000,,,,
8,7000,7700000,5000000,1610000,9100000,910000,1450000,94050000,,,,
9,700,770000,500000,161000,910000,91000,190000,3410000,,,,
10,3850,4620000,5000000,885500,5005000,500500,820000,49500000,,,,
11,1680,1680000,500000,386400,2184000,218400,386000,23400000,,,,
12,4200,4620000,5000000,966000,5460000,546000,890000,54450000,,,,
13,2520,2520000,500000,579600,3276000,327600,292000,33300000,,,,
14,6020,6020000,5000000,1384600,7826000,782600,1254000,79200000,,,,
15,700,700000,500000,161000,910000,91000,190000,3305000,,,,
16,1960,1960000,500000,450800,2548000,254800,442000,10100000,,,,
17,3290,2961000,560000,756700,4277000,427700,1037000,42300000,,,,
18,840,1764000,500000,193200,1092000,109200,213000,3690000,,,,
19,910,910000,500000,209300,1183000,118300,232000,12250000,,,,
20,3500,3500000,500000,805000,4550000,455000,750000,16875000,,,,
21,980,980000,500000,225400,1274000,127400,246000,4709000,,,,
22,1400,1400000,500000,322000,1820000,182000,400000,6540000,,,,
23,2240,2240000,500000,515200,2912000,291200,498000,10200000,,,,
24,1120,1120000,500000,257600,1456000,145600,274000,5220000,,,,
25,880,1584000,1350000,308000,1144000,114400,894000,10500000,,,,
26,3080,3080000,500000,708400,4004000,400400,676000,14850000,,,,
27,3220,3220000,500000,740600,4186000,418600,694000,16200000,,,,
28,2660,2660000,500000,611800,3458000,345800,582000,13050000,,,,
29,2520,2520000,500000,579600,3276000,327600,302000,12650000,,,,
30,2800,2800000,500000,644000,3640000,364000,610000,12800000,,,,
31,1680,1680000,500000,386400,2184000,218400,386000,8280000,,,,
32,840,840000,500000,193200,1092000,109200,218000,3564000,,,,
33,2800,2800000,500000,644000,3640000,364000,610000,13500000,,,,
